entity_h3_id,,,,,,,,,,,,,,,,DN0000,DN0001,DN1000,DN1100,4020,4050,DN1140,4070,4080,DN1200,2200,DN1300,6000,6100,6200,6210,DN1400,DN1410,7000,7020,7060,7070,DN1420,7100,DN1500,1270,1600,DN1510,2300,2340,DN1530,1250,1360,DN1600,6510,6520,6530,6540,DN2000,DN2020,DN2200,1220,1330,1390,6620,DN2210,1240,DN2220,1460,1470,DN2230,1020,DN2300,1230,1280,1300,1340,DN2310,1290,1350,1430,DN2320,1310,1320,DN2400,4220,4530,4540,4550,DN2410,4230,4290,6600,DN2420,4260,4400,DN2500,4110,4210,4240,4300,4350,4500,4510,4520,DN2600,1380,4100,4270
entity_h3_long_desc,,,,,,,,,,,,,,,,S+B Group,Continuing Operations,Production,DEW,4020 - DEW Härterei Technik GmbH (DE),4050 - dhi Rohstoffmanagement GmbH (DE),DEW 4000,4070 - DEW Speciality Steel GmbH & Co. KG (DE),4080 - DEW Sales GmbH & Co. KG (DE),Swiss Steel,2200 - Swiss Steel AG (CH),Ugitech,6000 - Ugitech S.A. (FR),6100 - Sprint Metal Edelstahlziehereien GmbH (DE),6200 - Ugitech Italia S.r.l (IT),6210 - Ugitech TFA S.r.l. (IT),Finkl Steel,Finkl,7000 - Finkl Steel - Chicago (US),7020 - Finkl Steel - Houston| LLC (US),7060 - Finkl De Mexico S de R.L. de C.V. (MX),7070 - Composite Forgings LLC (US),Sorel,7100 - Finkl Steel - Sorel (CA),Steeltec,1270 - Steeltec Celik A.S. (TR),1600 - Steeltec GmbH (DE),Steeltec TK,2300 - Steeltec AG (CH),2340 - Ugitech Suisse S.A. (CH),Scandinavia,1250 - Steeltec A/S (DK),1360 - Steeltec Boxholm AB (SE),Ascometal,6510 - Ascometal Hagondange S.A.S. (FR),6520 - Ascometal Les Dunes S.A.S. (FR),6530 - Ascometal Custines - Le Marais S.A.S. (FR),6540 - Ascometal Fos-sur-Mer S.A.S. (FR),Sales & Services,Sales & Services International,Western Europe,1220 - S+B Iberica S.A. (ES),1330 - S+B UK Ltd. (UK),1390 - S+B Portugal S.A. (PT),6620 - Ascometal Iberica S.L. (ES),Sales & Services France,1240 - S+B France S.A.S. (FR),S&S Italy,1460 - S+B Italia S.r.l. (IT),1470 - S+B Acciai Speciali S.r.l. (IT),Sales & Services Germany,1020 - S+B Deutschland GmbH (DE),Central and Eastern Europe,1230 - S+B Polska Sp.z o.o. (PL),1280 - S+B Romania SRL (RO),1300 - S+B Magyarország Kft. Budapest (HU),1340 - S+B Oy (FI),S&S Baltic,1290 - S+B Baltic OÜ (EE),1350 - S+B Baltic UAB (LT),1430 - S+B Baltic SIA (LV),S&S Czeck & Slovakia,1310 - S+B s.r.o. (CZ),1320 - S+B Slovakia s.r.o. (SK),Americas,4220 - S+B do Brasil Indústria e Comércio de Acos Ltda. (BR),4530 - S+B Chile SpA (CL),4540 - S+B Argentina SAU (AR),4550 S+B Colombia S.A.S. (CO),S&S North America,4230 - S+B Canada Inc. (CA),4290 - S+B USA Inc. (US),6600 - Ascometal North America Inc. (US),S&S Mexico,4260 - S+B Mexico S.A. de C.V. (MX),4400 - Alta Tecnologia en Tratamientos S.A. de C.V. (MX),Asia - Pacific,4110 - S+B India Pvt. Ltd. (IN),4210 - S+B Australia Pty. Ltd. (AU),4240 - S+B Singapore Pte. Ltd. (SG),4300 - S-B Hong Kong Co. Ltd. (HK),4350 - Shanghai Xinzhen Precision Metalwork Co. Ltd.(CN),4500 - Schmolz Bickenbach Japan Co. Ltd. (JP),4510 - Schmolz-Bickenbach (Thailand) Ltd. (TH),4520 - Schmolz+Bickenbach Taiwan Ltd. (TW),Rest of the world,1380 - S+B Russia OOO (RU),4100 - S+B Middle East FZCO (AE),4270 - S+B South Africa (Pty.) Ltd. (ZA)
entity_h3_calc,,,,,,,,,,,,,,,,Y,Y,Y,Y,N,N,Y,N,N,Y,N,Y,N,N,N,N,Y,Y,N,N,N,N,Y,N,Y,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N
entity_h3_level,,,,,,,,,,,,,,,,7,6,5,4,3,3,3,2,2,4,3,4,3,3,3,3,4,3,2,2,2,2,3,2,4,3,3,3,2,2,3,2,2,4,3,3,3,3,5,4,3,2,2,2,2,2,1,2,1,1,2,1,3,2,2,2,2,2,1,1,1,2,1,1,3,2,2,2,2,2,1,1,1,2,1,1,3,2,2,2,2,2,2,2,2,3,2,2,2
entity_h3_sequence,,,,,,,,,,,,,,,,0,1,2,3,4,11,18,19,26,31,32,38,39,46,53,60,66,67,68,75,82,89,95,96,101,102,109,116,117,124,130,131,138,143,144,151,158,165,170,171,172,173,180,187,194,201,202,208,209,216,222,223,228,229,236,243,250,257,258,265,272,278,279,286,291,292,299,306,313,320,321,328,335,341,342,349,354,355,362,369,376,383,390,397,404,410,411,418,425
currency_h1_id,,,,,,,,,,,,,,,,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR
currency_h1_long_desc,,,,,,,,,,,,,,,,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro
currency_h1_calc,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
currency_h1_level,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
currency_h1_sequence,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
col_calc,,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
